epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1414.65,1.88614,1.02348,1.17139,0.47219,0.44842,0.39912,0.16328,2.00515,1.19955,1.36839,0.00132868,0.00132868,0.00132868
43,1447.88,1.88128,1.01836,1.16762,0.47758,0.42994,0.38632,0.16297,2.00909,1.18634,1.35868,0.00132043,0.00132043,0.00132043
44,1481.18,1.90616,1.02635,1.16881,0.49804,0.42355,0.433,0.18324,2.01122,1.22803,1.36614,0.00131218,0.00131218,0.00131218
45,1514.83,1.8877,1.01497,1.16285,0.49632,0.45557,0.43197,0.19201,1.97601,1.18812,1.34389,0.00130393,0.00130393,0.00130393
46,1548.02,1.87975,1.01194,1.17338,0.48802,0.44351,0.39525,0.17294,2.00318,1.19844,1.36068,0.00129568,0.00129568,0.00129568
47,1582.2,1.8893,1.0212,1.16991,0.54001,0.46693,0.42596,0.18242,1.9945,1.19403,1.35767,0.00128742,0.00128742,0.00128742
48,1616.37,1.8761,1.01043,1.16651,0.48497,0.44667,0.4165,0.18205,1.98128,1.18091,1.35171,0.00127917,0.00127917,0.00127917
49,1650.82,1.87914,1.00457,1.16404,0.47137,0.45206,0.40939,0.18065,1.99561,1.19126,1.35028,0.00127092,0.00127092,0.00127092
50,1684.73,1.87567,1.00884,1.16497,0.47305,0.42182,0.38995,0.16998,1.98311,1.18002,1.35431,0.00126267,0.00126267,0.00126267
51,1718.93,1.88329,1.00555,1.15522,0.44046,0.48379,0.41367,0.17427,1.99991,1.1864,1.3539,0.00125442,0.00125442,0.00125442
52,1752.76,1.86667,1.00347,1.16411,0.51908,0.38801,0.39013,0.16734,1.98748,1.20513,1.35818,0.00124617,0.00124617,0.00124617
53,1786.08,1.87134,0.98947,1.1503,0.51744,0.44028,0.42668,0.18153,2.00898,1.19652,1.3558,0.00123791,0.00123791,0.00123791
54,1819.56,1.85918,0.98804,1.15218,0.50013,0.39293,0.39314,0.16423,2.01927,1.19647,1.36888,0.00122966,0.00122966,0.00122966
